[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' t[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' to dump early.
[log] ARMED on GPIO6 — cold-start the oven now. 'logdump' to dump early.
[log] buffer full.
---RAW BEGIN---
idx,t_us,level,dt_us
2575,12033.4,4510,3944,87.5
2577,12042.5,4510,3944,87.5
2579,12051.5,4510,39442580,12056.0,4509,3944,87.5
2581,12060.5,4509,3944,87.5
2582,12065.0,4510,3944,87.5
2583,12069.5,4509,3944,87.5
2584,12074.0,4510,3944,87.5
2585,12078.5,4509,3944,87.5
2587,12087.5,4510,3944,87.5
2588,12092.1,4509,3944,87.5
2589,12096.6,4510,3944,87.5
2590,12101.1,4509,3944,87.5
2591,12105.6,4510,3944,87.5
2592,12110.1,4509,3944,87.5
2593,12114.6,4509,3944,87.5
2594,12119.1,4510,3944,87.5
2595,12123.6,4509,3944,87.5
2597,12132.6,4509,3944,87.5
2598,12137.2,4509,3944,87.5
2599,12141.7,4510,3944,87.5
2600,12146.2,4509,3944,87.5
2615,12213.8,4509,3944,87.5
.3,4510,3944,87.5
2618,12227.3,4510,3944,87.5
2619,12231.9,4509,3944,87.5
2620,12236.4,4510,3944,87.5
2621,12240.9,4509,3943,87.4
2622,12245.4,4509,3944,87.5
2623,12249.9,4510,3944,87.5
2624,12254.4,4509,3944,87.5
2625,12258.9,4510,3944,87.5
2627,12267.9,4509,3944,87.5
2629,12276.9,4509,3944,87.5
2630,12281.5,4510,3944,87.5
2657,12403.2,4510,3944,87.5
62,12425.8,4510,3944,87.5
2684,12525.0,4509,3944,87.5
2686,12534.0,4510,3944,87.5
2692,12561.0,4509,3944,87.5
2722,12696.3,4510,3944,87.5
2723,12700.8,4509,3944,87.5
2725,12709.8,4510,3944,87.5
26,12714.4,4509,3944,87.5
2728,12723.4,4509,3944,87.5
2730,12732.4,4509,3944,87.5
2732,12741.4,4510,3944,87.5
2734,12750.4,4510,3944,87.5
2754.9,4509,3944,87.5
2737,12764.0,4510,3944,87.5
2739,12773.0,4510,3944,87.5
2741,12782.0,4509,3944,87.5
2742,12786.5,4510,3944,87.5
2744,127952745,12800.0,4509,3944,87.5
2747,12809.1,4509,3944,87.5
2748,12813.6,4509,3944,87.5
2750,12822.6,4509,3944,87.5
2767,12899.2,4509,3944,87.5
2773,12926.3,4510,3944,87.5
2776,12939.8,4509,3944,87.5
5
2814,13111.2,4510,3944,87.5
2816,13120.2,4510,3944,87.5
509,3944,87.5
2819,13133.7,4510,3944,87.5
2821,13142.8,4510,3944,87.5
2824,13156.3,4510,3944,87.5
2826,13165.3,4510,2827,13169.8,4509,3944,87.5
2877,13395.3,4510,3944,87.5
2880,13408.8,4509,3944,87.5
2890,13453.9,4509,3944,87.5
2891,13458.4,4510,3944,87.5
2892,13462.9,4509,3944,87.5
2893,13467.4,4509,3944,87.5
2894,13471.9,4510,3944,87.5
2895,13476.4,4509,3944,87.5
2896,13481.0,4510,3944,87.5
2897,13485.5,4509,3944,87.5
2899,13494.5,4510,39442900,13499.0,4509,3944,87.5
2902,13508.0,4509,3944,87.5
2904,13517.0,4509,3944,87.5
2951,13729.0,4509,3944,87.5
2954,13742.5,4510,2959,13765.0,4510,3944,87.5
2974,13832.7,4509,3944,87.5
2976,13841.7,4510,3944,87.5
2978,13850.7,4510,3944,87.5
2998,13940.9,4510,3944,87.5
3000,139493024,14058.2,4510,3945,87.5
3039,14125.8,4510,3944,87.5
3044,14148.4,4509,3944,87.5
3093,14369.3,4509,3944,87.5
3189,14802.2,4509,3944,87.5
3199,14847.3,4509,3944,87.5
3255,15099.8,4509,3944,87.5
3294,15275.7,4510,3944,87.5
3300,15302.8,4509,3944,87.5
3301,15307.3,4510,3944,87.5
3381,15668.0,4510,3944,87.5
3394,15726.6,4509,3944,87.5
3397,15740.2,4509,3944,87.5
3419,15839.4,4510,3944,87.5
3426,15870.9,4509,3944,87.5
3436,15916.0,4510,3944,87.5
3442,15943.1,4509,3944,87.5
3444,15952.1,4509,3944,87.5
3447,15965.6,4509,3944,87.5
3484,16132.5,4510,3944,87.3495,16182.1,4509,3944,87.5
3497,16191.1,4509,3944,87.5
3501,16209.2,4510,3944,87.5
3503,13507,16236.2,4509,3944,87.5
3522,16303.9,4509,3944,87.5
3556,16457.2,4509,3944,87.5
353610,16700.7,4510,3944,87.5
3617,16732.2,4510,3944,87.5
3618,16736.8,4509,3944,87.5
3714,17169.7,4509,3944,87.5
3757,17363.6,4509,3944,87.5
3759,17372.6,4510,3944,87.5
3761,17381.6,4511,3944,87.4
3763,17390.6,4509,3944,87.5
3765,17399.6,4509,3944,87.5
3766,17404.1,4510,3944,87.5
3768,174133769,17417.7,4509,3944,87.5
3770,17422.2,4509,3944,87.5
3771,17426.7,4510,3944,87.5
3772,17431.2,4509,3944,87.5
3773,17435.7,4510,3944,87.5
3789,17507.9,4509,3944,87.5
3804,17575.5,4510,3944,87.3805,17580.0,4509,3944,87.5
3807,17589.0,4510,3944,87.5
3809,17598.1,4510,3944,87.5
3811,17607.1,4509,3944,87.5
3813,17616.1,4509,3944,87.5
14,17620.6,4512,3944,87.4
3816,17629.6,4510,3944,87.5
3851,17787.4,4509,3944,87.5
3855,17805.5,4510,3944,87.5
3867,17859.6,4513,3944,87.4
3930,18143.7,4509,3944,87.5
3932,18152.7,4510,3944,87.3940,18188.8,4509,3944,87.5
3947,18220.4,4509,3944,87.5
3948,18224.9,4510,3944,87.5
3960,182793965,18301.5,4510,3944,87.5
509,3944,87.5
