[REC] ARMED — listening on GPIO6(CMD) + GPIO5(FB). Press microwave START.
[REC] buffer full.
---REC BEGIN---
idx,t_us,chan,level,dt_us
488,458355,C,0,611
489,458558,C,0,203
490,458776,C,0,218
491,458986,C,0,210
492,459186,C,1,200
493,459403,C,0,217
494,459604,C,1,201
495,459805,C,0,201
496,460005,C,0,200
497,460206,C,0,201
498,460407,C,0,201
499,460770,C,0,363
500,461221,C,0,451
501,461590,C,0,369
502,461795,C,0,205
503,462043,C,0,248
504,462841,C,0,798
505,463041,C,1,200
506,463477,F,0,436
507,463680,F,0,203
508,463897,F,0,217
509,464117,F,1,220
510,464334,F,0,217
511,464551,F,0,217
512,465094,C,1,543
513,465306,C,1,212
514,465511,C,1,205
515,465711,C,1,200
516,465922,C,1,211
517,466134,C,1,212
518,466397,C,1,263
519,466755,F,0,358
520,466763,C,0,8
521,466957,F,1,194
522,467014,C,1,57
523,467392,F,1,378
524,467602,F,0,210
525,467803,F,1,201
526,468003,F,0,200
527,468204,F,1,201
528,468405,F,1,201
529,468606,F,0,201
530,468806,F,0,200
531,469019,F,1,213
532,469220,F,1,201
533,469421,F,1,201
534,469633,F,1,212
535,469833,F,0,200
536,470033,F,1,200
537,470234,F,0,201
538,470439,F,0,205
539,470645,F,0,206
540,470847,F,1,202
541,471068,F,1,221
542,471918,F,1,850
543,472130,F,1,212
544,472331,F,1,201
545,472532,F,0,201
546,472733,F,0,201
547,472939,F,0,206
548,473142,F,0,203
549,473343,F,0,201
550,473560,F,0,217
551,473801,F,0,241
552,474067,F,0,266
553,474908,C,1,841
554,475110,C,0,202
555,475311,C,0,201
556,475523,C,0,212
557,475724,C,1,201
558,476412,C,0,688
559,476621,C,0,209
560,476821,C,0,200
561,477037,C,0,216
562,477500,C,0,463
563,477897,C,0,397
564,478348,C,0,451
565,478717,C,0,369
566,479047,C,0,330
567,479249,C,0,202
568,479449,C,0,200
569,479651,C,0,202
570,480192,F,0,541
571,480293,C,0,101
572,480392,F,1,99
573,480495,C,0,103
574,480918,F,0,423
575,481129,F,1,211
576,481329,F,0,200
577,481689,C,1,360
578,481907,C,1,218
579,482121,C,1,214
580,482341,C,1,220
581,482557,C,1,216
582,482772,C,1,215
583,483015,C,1,243
584,483431,F,0,416
585,483648,F,0,217
586,483848,F,0,200
587,484068,F,0,220
588,484272,F,0,204
589,484496,F,0,224
590,484699,F,0,203
591,484805,C,0,106
592,485433,F,1,628
593,485641,F,1,208
594,485845,F,1,204
595,486047,F,1,202
596,486269,F,1,222
597,486470,F,0,201
598,486679,F,1,209
599,486879,F,1,200
600,487093,F,0,214
601,487314,F,0,221
602,487577,F,0,263
603,487795,F,1,218
604,488008,F,1,213
605,488211,F,1,203
606,488419,F,1,208
607,488619,F,0,200
608,488820,F,0,201
609,489023,F,1,203
610,489246,F,0,223
611,489311,C,1,65
612,489946,F,1,635
613,490149,F,0,203
614,490397,F,0,248
615,490645,F,0,248
616,491514,C,1,869
617,491714,C,1,200
618,491939,C,0,225
619,492147,C,0,208
620,492348,C,0,201
621,492548,C,0,200
622,492748,C,0,200
623,492949,C,0,201
624,493152,C,0,203
625,493385,C,0,233
626,493599,C,0,214
627,494586,C,0,987
628,494983,C,0,397
629,495390,C,0,407
630,495684,C,0,294
631,495887,C,0,203
632,496087,C,0,200
633,496293,C,0,206
634,496498,C,1,205
635,496870,F,0,372
636,497073,F,0,203
637,497296,F,0,223
638,497496,F,1,200
639,497718,F,1,222
640,497919,F,0,201
641,498315,C,1,396
642,498919,C,1,604
643,499120,C,0,201
644,499332,C,1,212
645,499547,C,1,215
646,500157,F,0,610
647,500376,F,1,219
648,500576,F,0,200
649,500776,F,0,200
650,500994,F,1,218
651,501196,F,0,202
652,501397,F,1,201
653,501606,F,0,209
654,501815,F,0,209
655,502025,F,1,210
656,502225,F,0,200
657,502456,F,1,231
658,502657,F,1,201
659,503464,F,1,807
660,503669,F,0,205
661,503885,F,1,216
662,504086,F,1,201
663,504300,F,1,214
664,504502,F,1,202
665,504707,F,1,205
666,504912,F,1,205
667,505112,F,1,200
668,505312,F,0,200
669,505512,F,0,200
670,505716,F,0,204
671,505916,F,1,200
672,506133,F,0,217
673,506335,F,0,202
674,506546,F,1,211
675,506747,F,0,201
676,506959,F,0,212
677,507225,F,0,266
678,507343,C,1,118
679,507921,C,1,578
680,508204,C,1,283
681,508409,C,1,205
682,508629,C,0,220
683,508829,C,0,200
684,509030,C,0,201
685,509241,C,0,211
686,509446,C,0,205
687,509650,C,0,204
688,509855,C,0,205
689,510063,C,0,208
690,510279,C,0,216
691,510553,C,0,274
692,510801,C,0,248
693,511003,C,0,202
694,511262,C,0,259
695,511633,C,0,371
696,512478,C,0,845
697,512682,C,0,204
698,512882,C,0,200
699,513082,C,1,200
700,513574,F,0,492
701,513790,F,0,216
702,513995,F,0,205
703,514195,F,1,200
704,514395,F,0,200
705,514619,F,0,224
